0,940
1,940
2,940
3,940
4,940
5,940
6,940
7,940
8,940
9,940
10,940
11,940
12,940
13,940
14,940
15,940
16,940
17,940
18,940
19,940
20,940
21,940
22,940
23,940
24,940
25,940
26,940
27,940
28,940
29,940
30,940
31,940
32,940
33,940
34,940
35,940
36,940
37,940
38,940
39,940
40,940
41,940
42,940
43,940
44,940
45,940
46,940
47,940
48,940
49,940
50,940
51,940
52,940
53,940
54,940
55,940
56,940
57,940
58,940
59,940
60,940
61,940
62,940
63,940
64,940
65,940
66,940
67,940
68,940
69,940
70,940
71,940
72,940
73,940
74,940
75,940
76,940
77,940
78,940
79,940
80,940
81,940
82,940
83,940
84,940
85,940
86,940
87,940
88,940
89,940
90,940
91,940
92,940
93,940
94,940
95,940
96,940
97,940
98,940
99,940
